"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasil";"858245";"2717419";"6147517";"...";"-";"32612001";"1903891";"2583159";"15527125";"1477973";"20355";"12127937";"1413168";"6813204";"1873953";"...";"4111935";"51931790";"39276510";"12655281";"...";"93969296";"...";"428707";"589471";"4093531";"17630";"916254";"1851";"1587761";"1224487";"846541";"17222";"90529";"12375867";"136224";"8468559";"152098";"1097308";"48634";"78";"14348995";"2063208";"13850";"1975266";"8730";"2268057";"139493";"15617793";"2122332";"1942216";"1777";"1875180";"867912";"137990922";"71739";"403032";"48018";"480790";"1592460";"-";"434292";"347273883";"2949171";"1596312";"8663425";"15699652";"76043";"324";"94600";"4533446"
"Norte";"3362";"974057";"6124654";"...";"-";"302467";"-";"2215";"1350719";"-";"115";"1638141";"21265";"-";"29802";"...";"1956716";"2268319";"150";"2268169";"...";"580990";"...";"-";"2178";"7174";"-";"-";"-";"231003";"1210332";"17";"-";"378";"282765";"-";"1122";"-";"16601";"20683";"78";"275055";"166672";"-";"-";"8730";"99332";"-";"5526197";"4788";"158906";"-";"410779";"2251";"6183862";"-";"1851";"-";"-";"472607";"-";"-";"23888841";"157074";"6878";"44476";"-";"-";"-";"9999";"460"
"Nordeste";"90793";"850881";"21891";"...";"-";"7252780";"51599";"50736";"480410";"-";"-";"3991448";"622376";"618907";"125347";"...";"2029939";"2541082";"887625";"1653456";"...";"7869507";"...";"887";"587116";"820487";"-";"-";"-";"1110071";"14155";"-";"-";"90077";"1980186";"1034";"221030";"-";"537502";"26660";"-";"872633";"192597";"-";"-";"-";"828647";"139493";"2619069";"1658391";"1292859";"54";"592401";"826508";"11735394";"-";"13698";"-";"-";"135538";"-";"434292";"39729496";"169035";"48874";"1838823";"22639";"-";"-";"6434";"2011045"
"Sudeste";"654620";"651396";"914";"...";"-";"778645";"798494";"2454828";"102306";"34203";"7936";"4222318";"376566";"3419565";"1419195";"...";"121603";"45902245";"37259698";"8642547";"...";"61691308";"...";"310987";"-";"1070036";"-";"31402";"1851";"224648";"-";"-";"13216";"-";"3728710";"102213";"6734";"30177";"408718";"-";"-";"11889875";"1611749";"-";"35335";"-";"1315545";"-";"2152992";"431563";"239205";"1333";"287784";"-";"17939374";"36";"187315";"5014";"159484";"984294";"-";"-";"35154813";"986040";"966365";"4388282";"1476743";"11652";"-";"62763";"858313"
"Sul";"99783";"44492";"-";"...";"-";"37";"272672";"24537";"12883050";"1379866";"12305";"1734625";"377033";"2236593";"8344";"...";"-";"865140";"865140";"-";"...";"3858152";"...";"116832";"-";"1717748";"17630";"884353";"-";"1781";"-";"845282";"1766";"75";"3718304";"32977";"8239528";"8706";"105477";"-";"-";"1079520";"64134";"13850";"1939930";"-";"6162";"-";"3788114";"18373";"192806";"156";"294615";"35494";"28375758";"71703";"146656";"43004";"321306";"-";"-";"-";"74735692";"53213";"520706";"1337900";"13929035";"64391";"324";"7752";"1632450"
"Centro-Oeste";"9687";"196592";"58";"...";"-";"24278073";"781126";"50843";"710640";"63905";"-";"541406";"15928";"538139";"291265";"...";"3679";"355005";"263896";"91109";"...";"19969339";"...";"-";"178";"478086";"-";"499";"-";"20259";"-";"1242";"2240";"-";"2665902";"-";"145";"113216";"29009";"1291";"-";"231911";"28055";"-";"-";"-";"18370";"-";"1531421";"9217";"58440";"233";"289601";"3659";"73756535";"-";"53511";"-";"-";"21";"-";"-";"173765042";"1583810";"53490";"1053944";"271235";"-";"-";"7652";"31178"
"Piauí";"-";"-";"-";"...";"-";"101865";"-";"209";"110537";"-";"-";"99626";"266";"-";"-";"...";"-";"-";"-";"-";"...";"205407";"...";"-";"83604";"53";"-";"-";"-";"7036";"-";"-";"-";"5582";"267971";"-";"-";"-";"1681";"-";"-";"2687";"312";"-";"-";"-";"412";"-";"201808";"6492";"866";"-";"65616";"53272";"3155236";"-";"-";"-";"-";"-";"-";"-";"8628872";"37513";"-";"9797";"-";"-";"-";"-";"91"
"Acauã (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1036";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"795";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Agricolândia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"163";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"45";"-";"-";"-";"-";"-";"-";"-";"-";"18";"160";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"2593";"-";"-";"-";"-";"-";"-";"-";"6240";"-";"-";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"69";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"24";"168";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-";"225";"-";"489";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"450";"-";"-";"-";"-";"-"
