Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Brasil;1157449;4380071;7770712;...;-;31331337;2417311;3334263;22317432;1103068;23978;16062591;1926538;12050657;1622068;...;15264498;69205977;50996033;18209944;...;104971298;...;664442;689335;3864231;6419;589380;5563;2275451;2273676;1012330;18117;107772;12172130;158458;12202221;171748;1385628;68031;4802;28499994;2551158;9524;3161544;24500;2148444;135645;18125466;3626601;2557151;1947;2425469;1387617;88118085;62162;401528;60937;735510;3674754;-;348992;260233510;2706132;2186334;9918958;8770270;42305;587;166200;8335241
Nordeste;196078;1439672;26126;...;-;6854076;101069;63505;743605;-;28;5148426;927416;1330343;105206;...;6526166;4045345;1758472;2286873;...;8933982;...;1086;687577;948388;-;-;-;1617832;18092;-;-;107040;1862069;3180;245952;-;680669;27854;-;1646091;255619;-;-;-;946878;129450;3219684;2893834;1703734;55;697464;1348525;8527653;-;14132;-;-;180189;-;348992;30155039;166069;71061;1843895;35478;-;-;16051;5269166
Piauí;-;-;-;...;-;87579;-;217;170022;-;-;87064;261;-;-;...;-;-;-;-;...;228444;...;-;82175;61;-;-;-;8194;-;-;-;6330;252076;-;-;-;890;-;-;2263;-;-;-;-;1153;-;274718;6499;2637;-;89172;95389;1570988;-;-;-;-;-;-;-;7322801;49394;-;6364;-;-;-;-;360
Acauã (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1190;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;1122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Agricolândia (PI);-;-;-;...;-;-;-;-;174;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;66;-;-;-;-;-;-;-;-;18;74;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;2259;-;-;-;-;-;-;-;6678;-;-;-;-;-;-;-;-
Água Branca (PI);-;-;-;...;-;-;-;-;123;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;24;-;-;-;-;-;-;-;-;18;80;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;378;-;424;-;-;-;-;-;-;-;-;-;-;330;-;-;-;-;-
Alagoinha do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1856;-;-;-;-;-;-;-;-;-;4026;-;-;-;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;1889;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alegrete do Piauí (PI);-;-;-;...;-;18;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;7;-;-;-;-;-;-;-;-;85;569;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2160;-;2624;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alto Longá (PI);-;-;-;...;-;-;-;-;622;-;-;-;-;-;-;...;-;-;-;-;...;68;...;-;215;-;-;-;-;-;-;-;-;-;1176;-;-;-;-;-;-;-;-;-;-;-;-;-;1050;-;-;-;4830;-;439;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Altos (PI);-;-;-;...;-;-;-;-;124;-;-;31;-;-;-;...;-;-;-;-;...;48;...;-;24;-;-;-;-;149;-;-;-;36;831;-;-;-;-;-;-;68;-;-;-;-;-;-;490;359;-;-;2779;-;301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
