"Município";"1 - Alimentícios";"1.1 - Açaí (fruto)";"1.2 - Castanha-de-caju";"1.3 - Castanha-do-pará";"1.4 - Erva-mate";"1.5 - Mangaba (fruto)";"1.6 - Palmito";"1.7 - Pequi (fruto)";"1.8 - Pinhão";"1.9 - Umbu (fruto)";"1.10 - Outros";"2 - Aromáticos, medicinais, tóxicos e corantes";"2.1 - Ipecacuanha ou poaia (raiz)";"2.2 - Jaborandi (folha)";"2.3 - Urucum (semente)";"2.4 - Outros";"3 - Borrachas";"3.1 - Caucho";"3.2 - Hevea (látex coagulado)";"3.3 - Hevea (látex líquido)";"3.4 - Mangabeira";"4 - Ceras";"4.1 - Carnaúba (cera)";"4.2 - Carnaúba (pó)";"4.3 - Outras";"5 - Fibras";"5.1 - Buriti";"5.2 - Carnaúba";"5.3 - Piaçava";"5.4 - Outras";"6 - Gomas não elásticas";"6.1 - Balata";"6.2 - Maçaranduba";"6.3 - Sorva";"7.1 - Carvão vegetal";"7.2 - Lenha";"7.3 - Madeira em tora";"8 - Oleaginosos";"8.1 - Babaçu (amêndoa)";"8.2 - Copaíba (óleo)";"8.3 - Cumaru (amêndoa)";"8.4 - Licuri (coquilho)";"8.5 - Oiticica (semente)";"8.6 - Pequi (amêndoa)";"8.7 - Tucum (amêndoa)";"8.8 - Outros";"9.1 - Pinheiro brasileiro (nó de pinho)";"9.2 - Pinheiro brasileiro (árvores abatidas)";"9.3 - Pinheiro brasileiro (madeira em tora)";"10 - Tanantes";"10.1 - Angico (casca)";"10.2 - Barbatimão (casca)";"10.3 - Outros"
"Brasil";"1859275";"853147";"5946";"172252";"589566";"6954";"18515";"65811";"66704";"24328";"56052";"4439";"132";"1188";"84";"3036";"18387";"-";"17989";"398";"...";"224982";"14862";"209499";"621";"21149";"2785";"4224";"14037";"104";"-";"-";"-";"-";"406794";"710778";"2879156";"96084";"68844";"12865";"5425";"2651";"-";"3728";"824";"1746";"1667";"-";"-";"92";"67";"16";"8"
"Nordeste";"91693";"52953";"5722";"-";"-";"5983";"-";"3283";"-";"17342";"6410";"4013";"0";"1188";"70";"2755";"-";"-";"-";"-";"...";"224361";"14862";"209499";"-";"12859";"1597";"4224";"7017";"21";"-";"-";"-";"-";"222944";"341856";"146370";"71286";"67297";"-";"2";"2651";"-";"543";"737";"57";"-";"-";"-";"81";"66";"15";"0"
"Piauí";"900";"-";"-";"-";"-";"-";"-";"297";"-";"260";"343";"1339";"-";"492";"-";"847";"-";"-";"-";"-";"...";"119126";"-";"119126";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27220";"37158";"5177";"8036";"7599";"-";"-";"-";"-";"-";"437";"-";"-";"-";"-";"-";"-";"-";"-"
"Acauã (PI)";"66";"-";"-";"-";"-";"-";"-";"-";"-";"66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"147";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Agricolândia (PI)";"7";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"7";"1";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"4";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alagoinha do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"626";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alegrete do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"390";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alto Longá (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1403";"-";"1403";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"86";"156";"42";"19";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"986";"-";"986";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"390";"32";"35";"267";"263";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"3";"-";"-";"-";"-";"-";"-";"0";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"93";"8";"4";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"12";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"225";"-";"225";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"47";"17";"6";"4";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"35";"-";"8";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"9";"-";"-";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"179";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antônio Almeida (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"90";"3";"8";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroazes (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"240";"-";"240";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"40";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroeiras do Itaim (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1914";"-";"1914";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0";"23";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Arraial (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"93";"-";"93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"25";"4";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"154";"-";"154";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"392";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Avelino Lopes (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"95";"229";"116";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"49";"695";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"172";"-";"172";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"22";"4";"6";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"3";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1191";"-";"1191";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"656";"160";"54";"931";"906";"-";"-";"-";"-";"-";"26";"-";"-";"-";"-";"-";"-";"-";"-"
