Município;1 - Alimentícios;1.1 - Açaí (fruto);1.2 - Castanha-de-caju;1.3 - Castanha-do-pará;1.4 - Erva-mate;1.5 - Mangaba (fruto);1.6 - Palmito;1.7 - Pequi (fruto);1.8 - Pinhão;1.9 - Umbu (fruto);1.10 - Outros;2 - Aromáticos, medicinais, tóxicos e corantes;2.1 - Ipecacuanha ou poaia (raiz);2.2 - Jaborandi (folha);2.3 - Urucum (semente);2.4 - Outros;3 - Borrachas;3.1 - Caucho;3.2 - Hevea (látex coagulado);3.3 - Hevea (látex líquido);3.4 - Mangabeira;4 - Ceras;4.1 - Carnaúba (cera);4.2 - Carnaúba (pó);4.3 - Outras;5 - Fibras;5.1 - Buriti;5.2 - Carnaúba;5.3 - Piaçava;5.4 - Outras;6 - Gomas não elásticas;6.1 - Balata;6.2 - Maçaranduba;6.3 - Sorva;7.1 - Carvão vegetal;7.2 - Lenha;7.3 - Madeira em tora;8 - Oleaginosos;8.1 - Babaçu (amêndoa);8.2 - Copaíba (óleo);8.3 - Cumaru (amêndoa);8.4 - Licuri (coquilho);8.5 - Oiticica (semente);8.6 - Pequi (amêndoa);8.7 - Tucum (amêndoa);8.8 - Outros;9.1 - Pinheiro brasileiro (nó de pinho);9.2 - Pinheiro brasileiro (árvores abatidas);9.3 - Pinheiro brasileiro (madeira em tora);10 - Tanantes;10.1 - Angico (casca);10.2 - Barbatimão (casca);10.3 - Outros
Brasil;2009552;1023115;7649;195471;522805;7950;18999;66155;76780;25409;65221;2415;169;1103;150;992;23449;-;23142;307;...;235893;14992;220348;552;29737;2853;4480;22295;109;-;-;-;-;581600;870426;3161334;117400;77647;14311;14347;2834;-;3315;459;4487;2196;-;-;84;65;14;6
Nordeste;99924;54260;7318;-;-;6698;-;3428;-;18828;9392;2016;0;1103;122;791;-;-;-;-;...;235341;14992;220348;-;13215;1568;4480;7145;22;-;-;-;-;366983;367024;138968;73049;69280;-;2;2834;-;415;455;62;-;-;-;78;64;13;0
Piauí;848;-;-;-;-;-;-;282;-;279;287;1103;-;495;-;608;-;-;-;-;...;122349;-;122349;-;-;-;-;-;-;-;-;-;-;48922;36206;4984;9142;8687;-;-;-;-;-;455;-;-;-;-;-;-;-;-
Acauã (PI);74;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;14;141;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Agricolândia (PI);7;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;20;16;2;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Água Branca (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;18;14;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alagoinha do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;3;702;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alegrete do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;1;373;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alto Longá (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1289;-;1289;-;-;-;-;-;-;-;-;-;-;93;164;41;20;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Altos (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;975;-;975;-;-;-;-;-;-;-;-;-;-;410;39;36;302;298;-;-;-;-;-;4;-;-;-;-;-;-;-;-
