"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Brasil";"213809445";"1389873";"5750442";"41231856";"10959694";"18947352";"1465646694";"16844423"
"Nordeste";"27837112";"125390";"1337960";"5742769";"10311014";"12630902";"170460278";"2088272"
"Piauí";"1464196";"613";"69004";"1043091";"1835550";"1635678";"10524138";"22997"
"Acauã (PI)";"6206";"-";"382";"3363";"19824";"48362";"19359";"-"
"Agricolândia (PI)";"1680";"-";"38";"693";"630";"390";"8331";"-"
"Água Branca (PI)";"2935";"-";"55";"921";"129";"132";"24113";"-"
"Alagoinha do Piauí (PI)";"5821";"-";"367";"3093";"4927";"12533";"25017";"-"
"Alegrete do Piauí (PI)";"3760";"-";"98";"630";"1650";"7350";"5689";"-"
"Alto Longá (PI)";"14969";"-";"731";"16895";"33194";"18361";"49829";"-"
"Altos (PI)";"7712";"-";"576";"15624";"11481";"8478";"957324";"-"
"Alvorada do Gurguéia (PI)";"7470";"-";"132";"387";"246";"1031";"5535";"-"
"Amarante (PI)";"9554";"-";"420";"10245";"6709";"4794";"55775";"-"
"Angical do Piauí (PI)";"5666";"4";"62";"870";"1206";"814";"108184";"-"
"Anísio de Abreu (PI)";"2155";"-";"627";"2201";"4312";"10303";"19342";"-"
"Antônio Almeida (PI)";"3732";"-";"91";"430";"285";"620";"5621";"-"
"Aroazes (PI)";"6850";"-";"294";"2081";"7380";"9220";"11900";"-"
"Aroeiras do Itaim (PI)";"3404";"-";"145";"2336";"632";"4063";"16731";"-"
"Arraial (PI)";"3447";"-";"242";"2881";"3166";"3235";"14815";"-"
"Assunção do Piauí (PI)";"4561";"-";"135";"1817";"13119";"9560";"17474";"-"
"Avelino Lopes (PI)";"11818";"-";"522";"3440";"13120";"6897";"28983";"-"
"Baixa Grande do Ribeiro (PI)";"14219";"-";"331";"2536";"225";"366";"38624";"-"
"Barra D'Alcântara (PI)";"2232";"-";"49";"775";"2458";"2763";"12645";"-"
"Barras (PI)";"16277";"-";"950";"18305";"14334";"4989";"88939";"-"
"Barreiras do Piauí (PI)";"4879";"-";"202";"615";"1006";"224";"6330";"-"
"Barro Duro (PI)";"1670";"-";"64";"795";"1062";"364";"23061";"-"
"Batalha (PI)";"15843";"-";"406";"24126";"38963";"10117";"153426";"-"
"Bela Vista do Piauí (PI)";"6092";"-";"504";"2242";"10605";"14171";"9516";"-"
"Belém do Piauí (PI)";"2029";"-";"178";"1343";"1511";"7027";"9220";"-"
"Beneditinos (PI)";"4903";"-";"341";"8291";"11387";"7589";"21755";"-"
"Bertolínia (PI)";"9530";"-";"84";"1947";"604";"3223";"15415";"-"
"Betânia do Piauí (PI)";"2683";"-";"148";"1408";"3084";"20602";"12972";"-"
"Boa Hora (PI)";"1686";"-";"99";"5385";"3435";"1151";"13455";"-"
"Bocaina (PI)";"3459";"-";"84";"2239";"2561";"1755";"10445";"-"
"Bom Jesus (PI)";"27237";"-";"649";"1831";"781";"2879";"34372";"-"
"Bom Princípio do Piauí (PI)";"3236";"-";"135";"2627";"1645";"1595";"9676";"-"
"Bonfim do Piauí (PI)";"1693";"-";"453";"5241";"14808";"6906";"20171";"-"
"Boqueirão do Piauí (PI)";"1336";"-";"76";"5615";"3763";"887";"10394";"-"
"Brasileira (PI)";"4068";"-";"167";"8148";"8406";"2930";"20539";"-"
"Brejo do Piauí (PI)";"5765";"-";"439";"4422";"11187";"9592";"13776";"-"
"Buriti dos Lopes (PI)";"6403";"-";"351";"3981";"2697";"2325";"156307";"-"
"Buriti dos Montes (PI)";"7217";"-";"219";"2876";"17882";"9289";"22604";"-"
"Cabeceiras do Piauí (PI)";"5885";"-";"510";"14478";"11387";"4015";"31435";"-"
"Cajazeiras do Piauí (PI)";"4210";"-";"285";"3187";"2780";"4391";"10869";"-"
"Cajueiro da Praia (PI)";"1112";"-";"126";"1836";"1350";"459";"12432";"-"
"Caldeirão Grande do Piauí (PI)";"3235";"-";"209";"1247";"2902";"10645";"18458";"-"
"Campinas do Piauí (PI)";"7629";"-";"357";"4012";"11417";"24736";"16608";"-"
"Campo Alegre do Fidalgo (PI)";"2518";"-";"338";"2695";"18945";"7058";"9739";"-"
"Campo Grande do Piauí (PI)";"2159";"-";"198";"1471";"1155";"2178";"16739";"-"
"Campo Largo do Piauí (PI)";"4310";"127";"231";"8255";"3979";"818";"26159";"-"
"Campo Maior (PI)";"22445";"20";"2115";"21549";"29213";"27238";"117149";"-"
"Canavieira (PI)";"9779";"-";"453";"1356";"2541";"4385";"12497";"-"
"Canto do Buriti (PI)";"9553";"-";"565";"7523";"2002";"10127";"45278";"-"
"Capitão de Campos (PI)";"4021";"-";"185";"8108";"6843";"2053";"18437";"-"
"Capitão Gervásio Oliveira (PI)";"5559";"-";"362";"2522";"26568";"11702";"8752";"-"
"Caracol (PI)";"4408";"-";"753";"2018";"3889";"4538";"27141";"-"
"Caraúbas do Piauí (PI)";"9018";"-";"245";"5651";"4266";"2198";"22894";"-"
"Caridade do Piauí (PI)";"4456";"-";"145";"1281";"5841";"26830";"10878";"-"
"Castelo do Piauí (PI)";"11168";"-";"347";"9365";"31567";"14292";"38668";"-"
"Caxingó (PI)";"4247";"-";"242";"2642";"2984";"1121";"7968";"-"
"Cocal (PI)";"7329";"-";"215";"21241";"19837";"5266";"90983";"-"
"Cocal de Telha (PI)";"2418";"-";"33";"4291";"4360";"1076";"14234";"-"
"Cocal dos Alves (PI)";"2171";"-";"126";"7852";"6284";"1150";"29803";"-"
"Coivaras (PI)";"2915";"-";"250";"3742";"4726";"3538";"14806";"-"
"Colônia do Gurguéia (PI)";"6243";"-";"144";"746";"474";"1742";"6052";"-"
"Colônia do Piauí (PI)";"8025";"-";"303";"5092";"6964";"7438";"22902";"-"
"Conceição do Canindé (PI)";"3900";"-";"123";"1148";"8507";"10662";"7533";"-"
"Coronel José Dias (PI)";"2839";"-";"350";"4005";"27156";"15060";"11987";"-"
"Corrente (PI)";"30258";"-";"1624";"5112";"2064";"5708";"59715";"-"
"Cristalândia do Piauí (PI)";"21097";"-";"928";"1820";"2414";"3338";"26477";"-"
"Cristino Castro (PI)";"5447";"-";"173";"776";"185";"878";"13964";"-"
"Curimatá (PI)";"21111";"-";"859";"2535";"5422";"13217";"30161";"-"
"Currais (PI)";"14712";"-";"139";"1272";"95";"319";"19890";"-"
"Curralinhos (PI)";"3635";"-";"60";"2305";"2275";"848";"12338";"-"
"Curral Novo do Piauí (PI)";"2946";"-";"228";"1176";"5775";"16341";"8672";"-"
"Demerval Lobão (PI)";"1758";"-";"141";"4043";"2501";"1565";"28424";"-"
"Dirceu Arcoverde (PI)";"3712";"-";"392";"9291";"40662";"33073";"22087";"-"
"Dom Expedito Lopes (PI)";"1224";"-";"35";"921";"189";"694";"10241";"-"
"Domingos Mourão (PI)";"3198";"-";"189";"8912";"9728";"3870";"14296";"-"
"Dom Inocêncio (PI)";"7675";"-";"881";"7784";"82387";"53092";"21388";"-"
"Elesbão Veloso (PI)";"18645";"-";"612";"3427";"9850";"20280";"28500";"-"
"Eliseu Martins (PI)";"6389";"-";"133";"1661";"1512";"804";"17616";"-"
"Esperantina (PI)";"9215";"8";"385";"22649";"22099";"3859";"104240";"-"
"Fartura do Piauí (PI)";"3325";"-";"356";"3938";"25401";"11499";"18759";"-"
"Flores do Piauí (PI)";"4793";"-";"194";"3968";"5464";"1779";"15198";"-"
"Floresta do Piauí (PI)";"2667";"-";"209";"1590";"1279";"4736";"8814";"-"
"Floriano (PI)";"11100";"-";"1020";"6684";"17358";"8700";"172327";"-"
"Francinópolis (PI)";"3090";"-";"88";"1230";"2380";"1510";"22930";"-"
"Francisco Ayres (PI)";"3645";"-";"161";"1362";"1595";"2651";"11121";"-"
"Francisco Macedo (PI)";"1637";"-";"32";"855";"1284";"3750";"7730";"-"
"Francisco Santos (PI)";"3505";"-";"143";"1290";"915";"1885";"26873";"-"
"Fronteiras (PI)";"6257";"-";"95";"1150";"8183";"22653";"22355";"-"
"Geminiano (PI)";"3802";"-";"166";"1737";"875";"3246";"23431";"-"
"Gilbués (PI)";"11204";"-";"620";"2056";"1395";"1613";"21688";"-"
"Guadalupe (PI)";"5389";"-";"164";"1101";"3686";"1592";"6260";"-"
"Guaribas (PI)";"2135";"-";"72";"1876";"1620";"235";"14491";"-"
"Hugo Napoleão (PI)";"2167";"-";"17";"1550";"1250";"1060";"38285";"-"
"Ilha Grande (PI)";"1752";"-";"132";"519";"205";"755";"5046";"-"
"Inhuma (PI)";"7850";"-";"315";"5280";"2860";"3280";"42603";"-"
"Ipiranga do Piauí (PI)";"3022";"-";"93";"1995";"2185";"1500";"23283";"-"
"Isaías Coelho (PI)";"8506";"-";"409";"5054";"19194";"19817";"21900";"-"
"Itainópolis (PI)";"7501";"-";"498";"6303";"14388";"20652";"48070";"-"
"Itaueira (PI)";"14249";"-";"696";"8250";"9417";"13342";"42114";"-"
"Jacobina do Piauí (PI)";"11118";"-";"248";"950";"12857";"63632";"12116";"-"
"Jaicós (PI)";"4278";"-";"340";"4120";"11855";"13429";"49889";"-"
"Jardim do Mulato (PI)";"3395";"-";"30";"1332";"2732";"297";"21685";"-"
"Jatobá do Piauí (PI)";"7490";"2";"423";"5554";"19192";"13459";"23297";"-"
"Jerumenha (PI)";"7095";"-";"609";"1089";"2892";"3443";"3588";"-"
"João Costa (PI)";"3684";"-";"277";"3514";"15245";"13897";"11171";"-"
"Joaquim Pires (PI)";"11516";"28";"418";"12497";"12531";"2245";"39704";"-"
"Joca Marques (PI)";"4784";"-";"80";"5522";"2312";"616";"23613";"-"
"José de Freitas (PI)";"14463";"86";"2108";"26307";"22810";"18526";"162421";"-"
"Juazeiro do Piauí (PI)";"4205";"-";"143";"5815";"17489";"4162";"17389";"-"
"Júlio Borges (PI)";"12507";"-";"343";"2741";"12656";"3078";"17658";"-"
"Jurema (PI)";"2614";"-";"546";"1343";"3857";"8239";"20679";"-"
"Lagoinha do Piauí (PI)";"1480";"-";"25";"650";"680";"360";"7200";"-"
"Lagoa Alegre (PI)";"1860";"-";"278";"9380";"5344";"2795";"14377";"-"
"Lagoa do Barro do Piauí (PI)";"3706";"-";"429";"2543";"25137";"18676";"7375";"-"
"Lagoa de São Francisco (PI)";"1210";"-";"95";"8956";"7928";"1319";"22459";"-"
"Lagoa do Piauí (PI)";"3070";"-";"157";"4241";"5328";"1993";"160925";"-"
"Lagoa do Sítio (PI)";"3820";"-";"142";"3090";"4300";"4300";"15380";"-"
"Landri Sales (PI)";"7980";"4";"329";"2422";"3846";"1921";"23185";"-"
"Luís Correia (PI)";"9228";"-";"515";"12680";"10329";"7486";"70319";"-"
"Luzilândia (PI)";"8108";"-";"372";"18294";"9767";"1142";"60681";"-"
"Madeiro (PI)";"4319";"-";"176";"3792";"1541";"276";"16878";"-"
"Manoel Emídio (PI)";"7852";"-";"64";"1766";"277";"1030";"17500";"-"
"Marcolândia (PI)";"750";"-";"47";"818";"214";"1819";"8148";"-"
"Marcos Parente (PI)";"5611";"-";"178";"1721";"3552";"2100";"10550";"-"
"Massapê do Piauí (PI)";"2892";"-";"220";"1830";"8222";"17935";"17213";"-"
"Matias Olímpio (PI)";"2293";"60";"54";"5535";"2925";"406";"18075";"-"
"Miguel Alves (PI)";"7424";"13";"554";"22537";"8490";"2445";"70326";"-"
"Miguel Leão (PI)";"210";"-";"47";"380";"420";"280";"4103";"-"
"Milton Brandão (PI)";"3677";"-";"150";"9684";"20392";"5148";"30602";"-"
"Monsenhor Gil (PI)";"2750";"-";"140";"3800";"5472";"1904";"19967";"-"
"Monsenhor Hipólito (PI)";"5578";"-";"547";"1691";"333";"1161";"24534";"-"
"Monte Alegre do Piauí (PI)";"24825";"-";"453";"3512";"1810";"2388";"51591";"-"
