Município;Bovino;Bubalino;Equino;Suíno - total;Caprino;Ovino;Galináceos - total;Codornas
Brasil;238180757;1805145;5702612;43914785;13292844;21862326;1581215552;15467570
Nordeste;36448379;136482;1424482;6627676;12806320;16073727;218109836;3648572
Piauí;1371078;532;58264;1084572;2063920;1848381;12021069;13675
Acauã (PI);6037;-;334;3372;22014;53442;21779;-
Agricolândia (PI);1554;-;35;718;711;447;9439;-
Água Branca (PI);2798;-;46;961;148;155;27550;-
Alagoinha do Piauí (PI);5345;-;305;3244;5654;14357;28808;-
Alegrete do Piauí (PI);3464;-;81;664;1873;8341;6578;-
Alto Longá (PI);13905;-;612;17388;37898;20872;64975;-
Altos (PI);7150;-;465;16334;13021;9602;1092406;-
Alvorada do Gurguéia (PI);6911;-;109;417;279;1172;6401;-
Amarante (PI);9160;-;353;10900;7608;5436;51016;-
Angical do Piauí (PI);5267;-;59;920;1329;897;123523;-
Anísio de Abreu (PI);2346;-;502;2204;4716;11190;19836;-
Antônio Almeida (PI);3518;-;76;462;320;696;6373;-
Aroazes (PI);6381;-;250;2151;8362;10497;13651;-
Aroeiras do Itaim (PI);3142;-;120;2457;724;4609;19130;-
Arraial (PI);3286;-;210;3010;3545;3610;16694;-
Assunção do Piauí (PI);4240;-;115;1906;15043;11038;19945;-
Avelino Lopes (PI);10855;-;431;3577;14616;7671;31993;-
Baixa Grande do Ribeiro (PI);13288;-;269;2657;255;415;44553;-
Barra D'Alcântara (PI);2123;-;47;818;2785;3128;14592;-
Barras (PI);15259;-;882;19037;15621;5478;98629;-
Barreiras do Piauí (PI);4565;-;169;643;1122;251;7147;-
Barro Duro (PI);1797;-;56;829;1191;420;13884;-
Batalha (PI);14863;-;370;25131;42659;11147;169763;-
Bela Vista do Piauí (PI);5680;-;415;2364;12033;16056;10868;-
Belém do Piauí (PI);1912;-;155;1365;1650;7826;10643;-
Beneditinos (PI);4609;-;276;8665;12936;8609;24957;-
Bertolínia (PI);9205;-;70;2015;684;3628;17394;-
Betânia do Piauí (PI);2498;-;124;1472;3445;22966;14799;-
Boa Hora (PI);1655;-;90;5614;3766;1255;14851;-
Bocaina (PI);3180;-;72;2379;2920;2002;12147;-
Bom Jesus (PI);25657;-;542;1918;889;3267;39699;-
Bom Princípio do Piauí (PI);2974;-;110;2748;1833;1701;11183;-
Bonfim do Piauí (PI);1564;-;372;4988;14875;7527;20938;-
Boqueirão do Piauí (PI);1278;-;68;5903;4236;1037;12019;-
Brasileira (PI);4341;-;175;7436;9566;3341;23476;-
Brejo do Piauí (PI);5448;-;370;4572;12694;10834;15826;-
Buriti dos Lopes (PI);5884;-;288;4170;3067;2642;180691;-
Buriti dos Montes (PI);6704;-;188;3046;20170;10561;25648;-
Cabeceiras do Piauí (PI);5561;-;470;15065;12543;4466;34593;-
Cajazeiras do Piauí (PI);3995;-;229;3338;3142;4182;12573;-
Cajueiro da Praia (PI);1035;-;100;1887;1469;500;14371;-
Caldeirão Grande do Piauí (PI);3121;-;172;1307;3283;11993;21339;-
Campinas do Piauí (PI);7063;-;296;4214;12949;27710;19108;-
Campo Alegre do Fidalgo (PI);2451;-;282;2844;21424;8024;11117;-
Campo Grande do Piauí (PI);1994;-;161;1549;1325;2498;19397;-
Campo Largo do Piauí (PI);4038;122;214;8609;4382;893;28891;-
Campo Maior (PI);21642;18;1760;22474;33248;31309;134087;-
Canavieira (PI);9502;-;388;1426;2809;4847;13767;-
Canto do Buriti (PI);9105;-;470;7756;2221;11486;51170;-
Capitão de Campos (PI);4424;-;194;8362;7812;2334;21016;-
Capitão Gervásio Oliveira (PI);5191;-;297;2649;30159;13394;10030;-
Caracol (PI);4455;-;615;2037;4353;5072;27477;-
Caraúbas do Piauí (PI);8295;-;195;5919;4855;2495;26468;-
Caridade do Piauí (PI);4221;-;126;1341;6593;30445;12526;-
Castelo do Piauí (PI);10602;-;290;9446;35979;16199;44484;-
Caxingó (PI);3920;-;195;2766;3394;1247;9209;-
Cocal (PI);6739;-;173;22255;22562;5982;105201;-
Cocal de Telha (PI);2569;-;29;4493;5026;1122;16400;-
Cocal dos Alves (PI);1993;-;100;8224;7151;1250;34453;-
Coivaras (PI);2716;-;200;3927;5369;4009;16976;-
Colônia do Gurguéia (PI);5803;-;119;782;539;1982;6997;-
Colônia do Piauí (PI);7373;-;244;5345;7925;8449;26480;-
