"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Brasil";"...";"137565";"25303";"930";"29286";"5354";"31974";"92393";"26884";"121399";"13337";"23530";"273433";"715469";"1774624";"5705";"32064";"626";"18911";"277672";"1136723";"140361";"59647";"1655";"6954"
"Nordeste";"...";"1030";"18729";"13";"114";"26";"341";"10045";"7394";"4871";"74";"2039";"69937";"148294";"409974";"825";"-";"210";"860";"36921";"1130669";"139556";"1518";"-";"641"
"Piauí";"...";"17";"475";"-";"-";"-";"74";"-";"398";"585";"17";"-";"4912";"46311";"28796";"38";"-";"10";"23";"2280";"41971";"6788";"-";"-";"-"
"Agricolândia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alto Longá (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1133";"151";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"168";"115";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"82";"951";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"...";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antônio Almeida (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Aroazes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"145";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Arraial (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Baixa Grande do Ribeiro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"75";"98";"-";"-";"585";"774";"192";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barro Duro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"119";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Batalha (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1170";"315";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Belém do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Beneditinos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2701";"47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bertolínia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boa Hora (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bocaina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"22";"-";"-";"-";"-";"56";"943";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bom Jesus (PI)";"...";"-";"9";"-";"-";"-";"-";"-";"3";"-";"-";"-";"15";"387";"57";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Bonfim do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boqueirão do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasileira (PI)";"...";"-";"5";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"39";"51";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"196";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"287";"100";"208";"-";"-";"-";"-";"617";"-";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"140";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajueiro da Praia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26039";"5588";"-";"-";"-"
