Município;Peixes;Carpa;Curimatã, curimbatá;Dourado;Jatuarana, piabanha e piracanjuba;Lambari;Matrinxã;Pacu e patinga;Piau, piapara, piauçu, piava;Pintado, cachara, cachapira e pintachara, surubim;Pirapitinga;Pirarucu;Tambacu, tambatinga;Tambaqui;Tilápia;Traíra e trairão;Truta;Tucunaré;Outros peixes;Alevinos;Camarão;Larvas e pós-larvas de camarão;Ostras, vieiras e mexilhões;Sementes de moluscos;Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)
Brasil;-;183299;38787;1653;5715;5064;80915;88956;39978;199532;26467;33730;542220;1504682;4856193;8415;36064;2670;39229;517722;3056032;279523;118991;3906;6353
Nordeste;-;2457;30667;35;484;16;706;29215;11636;7728;1649;3079;115211;236718;1042935;2084;-;2196;7254;54521;3045504;277184;6319;225;-
Piauí;-;15;561;-;278;-;-;-;195;415;-;62;16640;50694;59328;2;-;-;3202;3254;85089;5972;-;-;-
Agricolândia (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;112;47;-;-;-;35;-;-;-;-;-;-
Água Branca (PI);-;-;-;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-
Alto Longá (PI);-;-;-;-;-;-;-;-;-;-;-;-;1006;733;260;-;-;-;-;-;-;-;-;-;-
Altos (PI);-;-;-;-;-;-;-;-;-;-;-;-;426;107;100;-;-;-;-;-;-;-;-;-;-
Alvorada do Gurguéia (PI);-;-;-;-;-;-;-;-;66;150;-;60;-;457;36;-;-;-;300;-;-;-;-;-;-
Amarante (PI);-;-;-;-;-;-;-;-;-;-;-;-;113;338;-;-;-;-;75;-;-;-;-;-;-
Angical do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;123;-;57;-;-;-;-;-;-;-;-;-;-
Anísio de Abreu (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;10;15;-;-;-;-;-;-;-;-;-;-
Antônio Almeida (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;17;74;-;-;-;-;1;-;-;-;-;-
Aroazes (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;163;-;-;-;-;-;-;-;-;-;-;-
