"Município";"Leite";"Ovos de galinha";"Ovos de codorna";"Mel de abelha";"Casulos do bicho-da-seda";"Lã"
"Brasil";"39344516";"14033274";"298303";"503628";"56859";"86909"
"Nordeste";"5633515";"2948936";"38068";"134376";"-";"-"
"Piauí";"135048";"108517";"620";"47869";"-";"-"
"Acauã (PI)";"1149";"299";"-";"443";"-";"-"
"Agricolândia (PI)";"129";"51";"-";"1";"-";"-"
"Água Branca (PI)";"374";"181";"-";"-";"-";"-"
"Alagoinha do Piauí (PI)";"320";"179";"-";"299";"-";"-"
"Alegrete do Piauí (PI)";"505";"46";"-";"41";"-";"-"
"Alto Longá (PI)";"536";"481";"-";"-";"-";"-"
"Altos (PI)";"435";"657";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"251";"47";"-";"-";"-";"-"
"Amarante (PI)";"301";"465";"-";"-";"-";"-"
"Angical do Piauí (PI)";"152";"195";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"367";"187";"-";"3259";"-";"-"
"Antônio Almeida (PI)";"94";"49";"-";"-";"-";"-"
"Aroazes (PI)";"755";"78";"-";"-";"-";"-"
"Aroeiras do Itaim (PI)";"228";"205";"-";"222";"-";"-"
"Arraial (PI)";"101";"97";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"567";"111";"-";"38";"-";"-"
"Avelino Lopes (PI)";"729";"224";"-";"22";"-";"-"
"Baixa Grande do Ribeiro (PI)";"453";"301";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"135";"101";"-";"-";"-";"-"
"Barras (PI)";"1589";"726";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"593";"95";"-";"2";"-";"-"
"Barro Duro (PI)";"155";"661";"-";"1";"-";"-"
"Batalha (PI)";"1149";"1017";"-";"96";"-";"-"
"Bela Vista do Piauí (PI)";"1020";"151";"-";"857";"-";"-"
"Belém do Piauí (PI)";"245";"79";"-";"162";"-";"-"
"Beneditinos (PI)";"62";"164";"-";"-";"-";"-"
"Bertolínia (PI)";"585";"102";"-";"-";"-";"-"
"Betânia do Piauí (PI)";"772";"171";"-";"21";"-";"-"
"Boa Hora (PI)";"33";"105";"-";"-";"-";"-"
"Bocaina (PI)";"662";"97";"-";"35";"-";"-"
"Bom Jesus (PI)";"1425";"249";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"667";"78";"-";"-";"-";"-"
"Bonfim do Piauí (PI)";"155";"205";"-";"531";"-";"-"
"Boqueirão do Piauí (PI)";"24";"94";"-";"-";"-";"-"
"Brasileira (PI)";"278";"321";"-";"71";"-";"-"
"Brejo do Piauí (PI)";"940";"136";"-";"61";"-";"-"
"Buriti dos Lopes (PI)";"1382";"208";"-";"5";"-";"-"
"Buriti dos Montes (PI)";"1616";"149";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"128";"265";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"223";"77";"-";"5";"-";"-"
"Cajueiro da Praia (PI)";"216";"101";"-";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"309";"131";"-";"43";"-";"-"
"Campinas do Piauí (PI)";"1380";"114";"-";"261";"-";"-"
"Campo Alegre do Fidalgo (PI)";"154";"69";"-";"272";"-";"-"
"Campo Grande do Piauí (PI)";"341";"131";"-";"1913";"-";"-"
"Campo Largo do Piauí (PI)";"133";"196";"-";"-";"-";"-"
"Campo Maior (PI)";"1812";"684";"-";"557";"-";"-"
"Canavieira (PI)";"319";"93";"-";"-";"-";"-"
"Canto do Buriti (PI)";"1859";"457";"-";"42";"-";"-"
"Capitão de Campos (PI)";"207";"233";"-";"-";"-";"-"
"Capitão Gervásio Oliveira (PI)";"533";"62";"-";"81";"-";"-"
"Caracol (PI)";"798";"273";"-";"308";"-";"-"
"Caraúbas do Piauí (PI)";"2540";"163";"-";"-";"-";"-"
"Caridade do Piauí (PI)";"420";"113";"-";"20";"-";"-"
"Castelo do Piauí (PI)";"1016";"317";"-";"-";"-";"-"
"Caxingó (PI)";"160";"60";"-";"-";"-";"-"
"Cocal (PI)";"1001";"716";"-";"161";"-";"-"
"Cocal de Telha (PI)";"207";"118";"-";"-";"-";"-"
"Cocal dos Alves (PI)";"122";"228";"-";"-";"-";"-"
"Coivaras (PI)";"159";"87";"-";"-";"-";"-"
"Colônia do Gurguéia (PI)";"268";"65";"-";"-";"-";"-"
"Colônia do Piauí (PI)";"766";"177";"-";"7";"-";"-"
"Conceição do Canindé (PI)";"481";"74";"-";"978";"-";"-"
"Coronel José Dias (PI)";"305";"126";"-";"159";"-";"-"
"Corrente (PI)";"1956";"700";"-";"-";"-";"-"
"Cristalândia do Piauí (PI)";"310";"231";"-";"-";"-";"-"
"Cristino Castro (PI)";"293";"137";"-";"27";"-";"-"
"Curimatá (PI)";"1520";"255";"-";"211";"-";"-"
"Currais (PI)";"127";"166";"-";"-";"-";"-"
"Curralinhos (PI)";"167";"117";"-";"7";"-";"-"
"Curral Novo do Piauí (PI)";"242";"88";"-";"-";"-";"-"
"Demerval Lobão (PI)";"128";"124";"-";"-";"-";"-"
"Dirceu Arcoverde (PI)";"494";"206";"-";"154";"-";"-"
"Dom Expedito Lopes (PI)";"305";"70";"-";"17";"-";"-"
"Domingos Mourão (PI)";"200";"106";"-";"41";"-";"-"
"Dom Inocêncio (PI)";"806";"219";"-";"174";"-";"-"
"Elesbão Veloso (PI)";"2400";"246";"-";"-";"-";"-"
"Eliseu Martins (PI)";"124";"218";"-";"4";"-";"-"
"Esperantina (PI)";"1111";"629";"-";"168";"-";"-"
"Fartura do Piauí (PI)";"440";"190";"-";"628";"-";"-"
"Flores do Piauí (PI)";"343";"85";"-";"67";"-";"-"
"Floresta do Piauí (PI)";"209";"63";"-";"27";"-";"-"
"Floriano (PI)";"1811";"8714";"-";"43";"-";"-"
"Francinópolis (PI)";"334";"264";"-";"-";"-";"-"
"Francisco Ayres (PI)";"50";"90";"-";"-";"-";"-"
"Francisco Macedo (PI)";"241";"53";"-";"34";"-";"-"
"Francisco Santos (PI)";"803";"192";"-";"326";"-";"-"
"Fronteiras (PI)";"641";"182";"-";"76";"-";"-"
"Geminiano (PI)";"410";"237";"-";"1013";"-";"-"
"Gilbués (PI)";"832";"248";"-";"-";"-";"-"
"Guadalupe (PI)";"276";"47";"-";"-";"-";"-"
"Guaribas (PI)";"133";"91";"-";"13";"-";"-"
"Hugo Napoleão (PI)";"242";"236";"-";"-";"-";"-"
"Ilha Grande (PI)";"727";"48";"-";"-";"-";"-"
"Inhuma (PI)";"1064";"392";"-";"13";"-";"-"
"Ipiranga do Piauí (PI)";"411";"129";"-";"52";"-";"-"
"Isaías Coelho (PI)";"942";"205";"-";"714";"-";"-"
"Itainópolis (PI)";"922";"345";"-";"1620";"-";"-"
"Itaueira (PI)";"814";"470";"-";"92";"-";"-"
"Jacobina do Piauí (PI)";"980";"93";"-";"600";"-";"-"
"Jaicós (PI)";"275";"422";"-";"1196";"-";"-"
"Jardim do Mulato (PI)";"60";"318";"-";"-";"-";"-"
"Jatobá do Piauí (PI)";"344";"181";"-";"4";"-";"-"
"Jerumenha (PI)";"67";"27";"-";"4";"-";"-"
"João Costa (PI)";"123";"86";"-";"78";"-";"-"
"Joaquim Pires (PI)";"765";"308";"-";"7";"-";"-"
"Joca Marques (PI)";"301";"173";"-";"1";"-";"-"
"José de Freitas (PI)";"741";"628";"-";"-";"-";"-"
"Juazeiro do Piauí (PI)";"449";"165";"-";"24";"-";"-"
"Júlio Borges (PI)";"426";"119";"-";"2";"-";"-"
"Jurema (PI)";"341";"213";"-";"974";"-";"-"
"Lagoinha do Piauí (PI)";"166";"65";"-";"3";"-";"-"
"Lagoa Alegre (PI)";"61";"114";"-";"-";"-";"-"
"Lagoa do Barro do Piauí (PI)";"265";"52";"-";"335";"-";"-"
"Lagoa de São Francisco (PI)";"99";"145";"-";"87";"-";"-"
"Lagoa do Piauí (PI)";"128";"73";"-";"-";"-";"-"
"Lagoa do Sítio (PI)";"475";"126";"-";"594";"-";"-"
"Landri Sales (PI)";"59";"211";"-";"-";"-";"-"
"Luís Correia (PI)";"3308";"554";"-";"-";"-";"-"
"Luzilândia (PI)";"796";"489";"-";"1";"-";"-"
"Madeiro (PI)";"282";"125";"-";"2";"-";"-"
"Manoel Emídio (PI)";"482";"130";"-";"21";"-";"-"
"Marcolândia (PI)";"211";"55";"-";"71";"-";"-"
"Marcos Parente (PI)";"116";"50";"-";"-";"-";"-"
"Massapê do Piauí (PI)";"290";"118";"-";"317";"-";"-"
"Matias Olímpio (PI)";"35";"126";"-";"-";"-";"-"
"Miguel Alves (PI)";"450";"512";"-";"-";"-";"-"
"Miguel Leão (PI)";"47";"16";"-";"-";"-";"-"
"Milton Brandão (PI)";"294";"381";"-";"24";"-";"-"
"Monsenhor Gil (PI)";"392";"147";"-";"12";"-";"-"
"Monsenhor Hipólito (PI)";"640";"215";"-";"600";"-";"-"
"Monte Alegre do Piauí (PI)";"346";"302";"-";"3";"-";"-"
"Morro Cabeça no Tempo (PI)";"356";"126";"-";"2";"-";"-"
"Morro do Chapéu do Piauí (PI)";"172";"130";"-";"14";"-";"-"
"Murici dos Portelas (PI)";"538";"208";"-";"1";"-";"-"
"Nazaré do Piauí (PI)";"305";"104";"-";"-";"-";"-"
"Nazária (PI)";"798";"201";"-";"-";"-";"-"
"Nossa Senhora de Nazaré (PI)";"105";"179";"-";"-";"-";"-"
"Nossa Senhora dos Remédios (PI)";"54";"185";"-";"-";"-";"-"
"Novo Oriente do Piauí (PI)";"356";"107";"-";"12";"-";"-"
"Novo Santo Antônio (PI)";"359";"100";"-";"-";"-";"-"
"Oeiras (PI)";"1263";"573";"-";"355";"-";"-"
"Olho D'Água do Piauí (PI)";"325";"51";"-";"-";"-";"-"
"Padre Marcos (PI)";"320";"87";"-";"693";"-";"-"
"Paes Landim (PI)";"381";"117";"-";"1339";"-";"-"
"Pajeú do Piauí (PI)";"433";"175";"-";"130";"-";"-"
"Palmeira do Piauí (PI)";"615";"187";"-";"-";"-";"-"
"Palmeirais (PI)";"276";"357";"-";"-";"-";"-"
"Paquetá (PI)";"365";"82";"-";"29";"-";"-"
"Parnaguá (PI)";"1962";"235";"-";"14";"-";"-"
"Parnaíba (PI)";"7557";"7084";"436";"25";"-";"-"
"Passagem Franca do Piauí (PI)";"596";"83";"-";"-";"-";"-"
"Patos do Piauí (PI)";"348";"128";"-";"523";"-";"-"
"Pau D'Arco do Piauí (PI)";"104";"122";"-";"-";"-";"-"
"Paulistana (PI)";"1111";"189";"-";"605";"-";"-"
"Pavussu (PI)";"72";"92";"-";"192";"-";"-"
"Pedro II (PI)";"680";"544";"-";"91";"-";"-"
"Pedro Laurentino (PI)";"417";"56";"-";"342";"-";"-"
"Nova Santa Rita (PI)";"801";"100";"-";"313";"-";"-"
"Picos (PI)";"2216";"521";"-";"4761";"-";"-"
"Pimenteiras (PI)";"1846";"253";"-";"1226";"-";"-"
"Pio IX (PI)";"860";"269";"-";"635";"-";"-"
"Piracuruca (PI)";"1812";"1196";"-";"311";"-";"-"
"Piripiri (PI)";"895";"777";"-";"16";"-";"-"
"Porto (PI)";"191";"115";"-";"-";"-";"-"
"Porto Alegre do Piauí (PI)";"113";"38";"-";"-";"-";"-"
"Prata do Piauí (PI)";"187";"23";"-";"-";"-";"-"
"Queimada Nova (PI)";"1023";"109";"-";"421";"-";"-"
"Redenção do Gurguéia (PI)";"641";"175";"-";"-";"-";"-"
"Regeneração (PI)";"68";"362";"-";"232";"-";"-"
"Riacho Frio (PI)";"474";"159";"-";"-";"-";"-"
"Ribeira do Piauí (PI)";"246";"47";"-";"54";"-";"-"
"Ribeiro Gonçalves (PI)";"357";"491";"-";"-";"-";"-"
"Rio Grande do Piauí (PI)";"284";"193";"-";"92";"-";"-"
"Santa Cruz do Piauí (PI)";"568";"92";"-";"175";"-";"-"
"Santa Cruz dos Milagres (PI)";"156";"62";"-";"-";"-";"-"
"Santa Filomena (PI)";"522";"99";"-";"-";"-";"-"
"Santa Luz (PI)";"785";"146";"-";"4";"-";"-"
"Santana do Piauí (PI)";"88";"70";"-";"782";"-";"-"
"Santa Rosa do Piauí (PI)";"518";"64";"-";"-";"-";"-"
"Santo Antônio de Lisboa (PI)";"215";"93";"-";"207";"-";"-"
"Santo Antônio dos Milagres (PI)";"27";"45";"-";"-";"-";"-"
"Santo Inácio do Piauí (PI)";"365";"81";"-";"418";"-";"-"
"São Braz do Piauí (PI)";"124";"176";"-";"566";"-";"-"
"São Félix do Piauí (PI)";"559";"40";"-";"-";"-";"-"
"São Francisco de Assis do Piauí (PI)";"437";"65";"-";"628";"-";"-"
"São Francisco do Piauí (PI)";"324";"161";"-";"-";"-";"-"
"São Gonçalo do Gurguéia (PI)";"573";"93";"-";"10";"-";"-"
"São Gonçalo do Piauí (PI)";"218";"77";"-";"-";"-";"-"
"São João da Canabrava (PI)";"231";"49";"-";"200";"-";"-"
"São João da Fronteira (PI)";"228";"52";"-";"94";"-";"-"
"São João da Serra (PI)";"716";"120";"-";"-";"-";"-"
"São João da Varjota (PI)";"152";"61";"-";"-";"-";"-"
"São João do Arraial (PI)";"78";"162";"-";"-";"-";"-"
"São João do Piauí (PI)";"970";"310";"-";"773";"-";"-"
"São José do Divino (PI)";"5705";"201";"-";"10";"-";"-"
"São José do Peixe (PI)";"76";"57";"-";"83";"-";"-"
"São José do Piauí (PI)";"502";"194";"-";"628";"-";"-"
"São Julião (PI)";"804";"68";"-";"40";"-";"-"
"São Lourenço do Piauí (PI)";"191";"165";"-";"318";"-";"-"
"São Luis do Piauí (PI)";"148";"68";"-";"3";"-";"-"
"São Miguel da Baixa Grande (PI)";"244";"21";"-";"-";"-";"-"
"São Miguel do Fidalgo (PI)";"112";"57";"-";"148";"-";"-"
"São Miguel do Tapuio (PI)";"1540";"316";"-";"180";"-";"-"
"São Pedro do Piauí (PI)";"728";"197";"-";"3";"-";"-"
"São Raimundo Nonato (PI)";"545";"572";"-";"2519";"-";"-"
"Sebastião Barros (PI)";"278";"201";"-";"-";"-";"-"
"Sebastião Leal (PI)";"118";"79";"-";"-";"-";"-"
"Sigefredo Pacheco (PI)";"582";"256";"-";"32";"-";"-"
"Simões (PI)";"676";"244";"-";"409";"-";"-"
"Simplício Mendes (PI)";"1332";"201";"-";"4058";"-";"-"
"Socorro do Piauí (PI)";"214";"49";"-";"206";"-";"-"
"Sussuapara (PI)";"975";"154";"-";"304";"-";"-"
"Tamboril do Piauí (PI)";"232";"113";"-";"-";"-";"-"
"Tanque do Piauí (PI)";"108";"73";"-";"-";"-";"-"
"Teresina (PI)";"3455";"8638";"184";"-";"-";"-"
"União (PI)";"860";"1036";"-";"-";"-";"-"
"Uruçuí (PI)";"896";"19797";"-";"-";"-";"-"
"Valença do Piauí (PI)";"1102";"20332";"-";"150";"-";"-"
"Várzea Branca (PI)";"457";"179";"-";"484";"-";"-"
"Várzea Grande (PI)";"59";"97";"-";"-";"-";"-"
"Vera Mendes (PI)";"305";"84";"-";"389";"-";"-"
"Vila Nova do Piauí (PI)";"184";"70";"-";"84";"-";"-"
"Wall Ferraz (PI)";"448";"131";"-";"78";"-";"-"
