Município;Leite;Ovos de galinha;Ovos de codorna;Mel de abelha;Casulos do bicho-da-seda;Lã
Brasil;79999170;30364242;531097;906893;51236;50757
Nordeste;12960205;6431302;154480;305259;-;-
Piauí;206568;212821;214;106938;-;-
Acauã (PI);2180;676;-;767;-;-
Agricolândia (PI);196;105;-;2;-;-
Água Branca (PI);668;396;-;-;-;-
Alagoinha do Piauí (PI);413;387;-;1330;-;-
Alegrete do Piauí (PI);689;96;-;29;-;-
Alto Longá (PI);819;958;-;-;-;-
Altos (PI);588;1310;-;-;-;-
Alvorada do Gurguéia (PI);293;79;-;-;-;-
Amarante (PI);350;337;-;-;-;-
Angical do Piauí (PI);231;323;-;-;-;-
Anísio de Abreu (PI);600;303;-;5320;-;-
Antônio Almeida (PI);124;87;-;-;-;-
Aroazes (PI);1177;150;-;-;-;-
Aroeiras do Itaim (PI);315;417;-;147;-;-
Arraial (PI);120;173;-;6;-;-
Assunção do Piauí (PI);882;200;-;61;-;-
Avelino Lopes (PI);1088;459;-;39;-;-
Baixa Grande do Ribeiro (PI);547;550;-;-;-;-
Barra D'Alcântara (PI);216;179;-;-;-;-
Barras (PI);2353;1399;-;-;-;-
Barreiras do Piauí (PI);841;122;-;1;-;-
Barro Duro (PI);256;158;-;2;-;-
Batalha (PI);1357;2597;-;397;-;-
Bela Vista do Piauí (PI);1606;256;-;1530;-;-
Belém do Piauí (PI);352;155;-;580;-;-
Beneditinos (PI);84;274;-;-;-;-
Bertolínia (PI);1017;208;-;-;-;-
Betânia do Piauí (PI);1186;355;-;32;-;-
Boa Hora (PI);42;252;-;-;-;-
Bocaina (PI);598;183;-;94;-;-
Bom Jesus (PI);1855;548;-;-;-;-
Bom Princípio do Piauí (PI);833;121;-;23;-;-
Bonfim do Piauí (PI);238;320;-;3240;-;-
Boqueirão do Piauí (PI);89;157;-;-;-;-
Brasileira (PI);415;680;-;235;-;-
Brejo do Piauí (PI);1226;211;-;157;-;-
Buriti dos Lopes (PI);1628;378;-;5;-;-
Buriti dos Montes (PI);2206;276;-;-;-;-
Cabeceiras do Piauí (PI);171;521;-;-;-;-
Cajazeiras do Piauí (PI);334;161;-;-;-;-
Cajueiro da Praia (PI);257;170;-;-;-;-
