Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Cultivo de arroz;1346;1383;1714;16303;625
Cultivo de milho;350;726;8318;1606;1837
Cultivo de trigo;3;9;78;181;29
Cultivo de outros cereais não especificados anteriormente;828;5778;7661;12287;6125
Cultivo de algodão herbáceo;76;2707;510;23;6046
Cultivo de juta;9;10;2;0;5
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;84;283;1197;611;148
Cultivo de cana-de-açúcar;1346;31393;67449;6451;18935
Cultivo de fumo;22;1998;14;91;0
Cultivo de soja;6147;15361;10780;26497;80544
Cultivo de amendoim;5;4;557;5;4
Cultivo de girassol;0;21;29;0;0
Cultivo de mamona;0;6;2;0;0
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;67;380;1761;656;383
Cultivo de abacaxi;69;240;427;7;17
Cultivo de alho;0;3;576;210;245
Cultivo de batata-inglesa;0;1122;3501;1635;325
Cultivo de cebola;19;141;557;110;52
Cultivo de feijão;12;141;559;116;325
Cultivo de mandioca;83;212;574;944;78
Cultivo de melão;1;10762;7;7;0
Cultivo de melancia;50;492;100;63;54
Cultivo de tomate rasteiro;2;243;2544;430;316
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;397;4821;13949;5102;3065
Horticultura, exceto morango;690;1933;19628;3369;2718
Cultivo de morango;0;59;759;531;12
Cultivo de flores e plantas ornamentais;236;1537;14991;1466;493
Cultivo de laranja;348;2175;51753;1451;804
Cultivo de uva;15;20636;1839;892;63
Cultivo de açaí;285;28;45;0;3
Cultivo de banana;239;5915;12075;1233;242
Cultivo de caju;1;358;54;0;2
Cultivo de cítricos, exceto laranja;49;1862;2553;182;85
Cultivo de coco-da-baía;3226;2106;363;6;38
Cultivo de guaraná;45;3;1;0;0
Cultivo de maçã;0;9;67;11159;0
Cultivo de mamão;21;3391;2813;12;10
Cultivo de maracujá;12;106;169;16;12
Cultivo de manga;7;9234;472;0;9
Cultivo de pêssego;4;0;276;139;0
Cultivo de frutas de lavoura permanente não especificadas anteriormente;335;3783;4855;1225;136
Cultivo de café;29;7067;76758;1375;270
Cultivo de cacau;142;6829;999;0;3
Cultivo de chá-da-índia;0;2;38;4;1
Cultivo de erva-mate;0;1;7;459;2
Cultivo de pimenta-do-reino;641;177;128;0;0
Cultivo de plantas para condimento, exceto pimenta-do-reino;13;155;93;29;142
Cultivo de dendê;10308;65;2;0;1
Cultivo de seringueira;54;660;1837;6;1304
Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;531;1443;3746;1753;225
Produção de sementes certificadas, exceto de forrageiras para pasto;566;664;5308;2570;3996
Produção de sementes certificadas de forrageiras para formação de pasto;5;182;620;48;586
Produção de mudas e outras formas de propagação vegetal, certificadas;68;840;2680;816;252
Criação de bovinos para corte;44955;25112;70339;24810;103989
Criação de bovinos para leite;2765;7261;53105;4995;11950
Criação de bovinos, exceto para corte e leite;1924;2870;5607;1356;3296
Criação de bufalinos;246;175;340;89;96
Criação de eqüinos;51;655;4552;1028;290
Criação de asininos e muares;46;58;195;102;53
Criação de caprinos;25;324;224;44;16
Criação de ovinos, inclusive para produção de lã;11;342;493;252;78
Criação de suínos;104;1068;10670;11316;4962
Criação de frangos para corte;4666;13494;9904;2980;3233
Produção de pintos de um dia;86;1363;6485;6999;937
Criação de outros galináceos, exceto para corte;31;1079;931;1484;785
Criação de aves, exceto galináceos;601;421;726;1471;333
Produção de ovos;1875;9376;20149;8571;4234
Apicultura;14;136;385;100;33
Criação de animais de estimação;12;178;231;30;39
Criação de escargô;0;0;3;0;0
Criação de bicho-da-seda;0;0;65;62;0
Criação de outros animais não especificados anteriormente;173;622;2587;596;445
Serviço de pulverização e controle de pragas agrícolas;117;579;2622;1389;1258
Serviço de poda de árvores para lavouras;22;85;336;374;65
Serviço de preparação de terreno, cultivo e colheita;639;4832;18468;4360;3250
Atividades de apoio à agricultura não especificadas anteriormente;2368;7083;31713;11905;7139
Serviço de inseminação artificial em animais;24;22;198;71;91
Serviço de tosquiamento de ovinos;0;0;4;2;1
Serviço de manejo de animais;210;124;664;835;313
Atividades de apoio à pecuária não especificadas anteriormente;1233;1703;8995;5893;3681
Atividades de pós-colheita;143;480;1988;3282;1679
Caça e serviços relacionados;1;5;6;1;2
Cultivo de eucalipto;759;2646;13236;1092;1979
Cultivo de acácia-negra;0;0;7;31;0
Cultivo de pinus;356;66;1419;7429;5
Cultivo de teca;115;0;62;0;482
Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;310;99;314;83;45
Cultivo de mudas em viveiros florestais;389;438;1447;1201;511
Extração de madeira em florestas plantadas;642;503;3814;6658;860
Produção de carvão vegetal - florestas plantadas;602;1604;6280;429;322
Produção de casca de acácia-negra - florestas plantadas;0;0;4;32;0
Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;8;189;2890;1839;15
Extração de madeira em florestas nativas;1166;60;41;185;533
Produção de carvão vegetal - florestas nativas;289;502;109;37;390
Coleta de castanha-do-pará em florestas nativas;17;0;1;0;0
Coleta de látex em florestas nativas;14;59;89;0;58
Coleta de palmito em florestas nativas;1;0;10;4;0
Conservação de florestas nativas;85;334;221;51;52
Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;5;250;474;306;0
Atividades de apoio à produção florestal;1902;7918;14032;6285;2327
Pesca de peixes em água salgada;697;513;1231;2847;4
Pesca de crustáceos e moluscos em água salgada;288;82;115;34;0
Coleta de outros produtos marinhos;0;1;0;5;0
Atividades de apoio à pesca em água salgada;1;274;157;78;1
Pesca de peixes em água doce;40;101;151;40;95
Pesca de crustáceos e moluscos em água doce;0;4;3;0;3
Coleta de outros produtos aquáticos de água doce;8;0;18;8;0
Atividades de apoio à pesca em água doce;70;7;20;13;21
