Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;{ñ class}
Cultivo de arroz;1644;770;543;14787;1553;0
Cultivo de milho;1372;2630;13864;4019;9206;0
Cultivo de trigo;3;231;134;648;50;0
Cultivo de outros cereais não especificados anteriormente;1022;4514;7031;9868;6213;0
Cultivo de algodão herbáceo;104;3450;560;15;6304;0
Cultivo de juta;0;1;1;0;0;0
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;101;182;739;337;79;0
Cultivo de cana-de-açúcar;1123;31463;57895;4459;15298;0
Cultivo de fumo;0;1852;16;92;6;0
Cultivo de soja;11294;24817;16317;30918;106141;0
Cultivo de amendoim;0;0;1238;0;22;0
Cultivo de girassol;0;7;14;0;0;0
Cultivo de mamona;0;0;2;0;0;0
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;262;239;1341;661;1724;0
Cultivo de abacaxi;57;150;222;3;22;0
Cultivo de alho;0;8;1369;230;417;0
Cultivo de batata-inglesa;1;3410;4231;2345;154;0
Cultivo de cebola;2;181;509;266;217;0
Cultivo de feijão;16;100;887;128;513;0
Cultivo de mandioca;133;353;774;901;259;0
Cultivo de melão;0;9698;4;0;0;0
Cultivo de melancia;47;145;119;185;36;0
Cultivo de tomate rasteiro;6;46;2122;339;234;0
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;567;4917;12064;4316;1676;0
Horticultura, exceto morango;775;2994;23491;3516;4599;0
Cultivo de morango;0;440;993;867;134;0
Cultivo de flores e plantas ornamentais;288;1431;15825;1782;554;0
Cultivo de laranja;535;2256;55374;1955;895;0
Cultivo de uva;0;29090;1867;867;42;0
Cultivo de açaí;632;104;58;0;161;0
Cultivo de banana;332;7113;13252;1162;334;0
Cultivo de caju;1;214;2;1;4;0
Cultivo de cítricos, exceto laranja;71;2301;4008;207;87;0
Cultivo de coco-da-baía;3786;2016;495;43;28;0
Cultivo de guaraná;4;5;0;0;0;0
Cultivo de maçã;0;10;64;12373;0;0
Cultivo de mamão;46;3127;2620;0;28;0
Cultivo de maracujá;46;251;118;7;38;0
Cultivo de manga;6;12614;544;0;9;0
Cultivo de pêssego;2;0;294;86;0;0
Cultivo de frutas de lavoura permanente não especificadas anteriormente;274;6388;6705;1764;344;0
Cultivo de café;119;6441;78575;865;367;0
Cultivo de cacau;254;7144;697;0;3;0
Cultivo de chá-da-índia;0;0;79;1;0;0
Cultivo de erva-mate;0;1;1;454;0;0
Cultivo de pimenta-do-reino;376;283;298;0;0;0
Cultivo de plantas para condimento, exceto pimenta-do-reino;7;55;112;17;142;0
Cultivo de dendê;13507;96;7;0;5;0
Cultivo de seringueira;476;507;1419;7;1680;0
Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;395;1734;3145;1149;283;0
Produção de sementes certificadas, exceto de forrageiras para pasto;719;1309;10384;5149;8239;0
Produção de sementes certificadas de forrageiras para formação de pasto;10;362;864;68;724;0
Produção de mudas e outras formas de propagação vegetal, certificadas;388;1136;4678;890;430;0
Criação de bovinos para corte;51511;30130;78769;26593;115856;2
Criação de bovinos para leite;3674;7658;50205;6498;13321;0
Criação de bovinos, exceto para corte e leite;1863;3233;4739;1244;3858;0
Criação de bufalinos;346;95;429;76;135;0
Criação de eqüinos;191;832;5343;1051;427;0
Criação de asininos e muares;29;60;164;49;70;0
Criação de caprinos;48;360;191;65;16;0
Criação de ovinos, inclusive para produção de lã;21;384;514;492;61;0
Criação de suínos;150;1885;12100;15452;5756;0
Criação de frangos para corte;5793;12945;10015;3487;3518;0
Produção de pintos de um dia;46;1267;7929;7625;1710;0
Criação de outros galináceos, exceto para corte;46;1330;1155;2082;1097;0
Criação de aves, exceto galináceos;222;1212;1185;1644;619;0
Produção de ovos;2357;11381;19684;10514;5484;0
Apicultura;22;132;500;98;24;0
Criação de animais de estimação;20;118;306;67;43;0
Criação de escargô;0;1;1;0;5;0
Criação de bicho-da-seda;0;0;5;3;0;0
Criação de outros animais não especificados anteriormente;236;1206;2472;602;445;0
Serviço de pulverização e controle de pragas agrícolas;213;358;2184;1355;1779;0
Serviço de poda de árvores para lavouras;20;208;754;531;260;0
Serviço de preparação de terreno, cultivo e colheita;851;8481;26553;7394;8339;1
Atividades de apoio à agricultura não especificadas anteriormente;5017;13016;40465;17154;13499;0
Serviço de inseminação artificial em animais;61;62;268;76;149;0
Serviço de tosquiamento de ovinos;0;8;11;8;6;0
Serviço de manejo de animais;569;650;1683;1669;1320;0
Atividades de apoio à pecuária não especificadas anteriormente;1346;2402;8130;5896;3125;0
Atividades de pós-colheita;290;1590;4276;5678;3263;0
Caça e serviços relacionados;1;26;11;6;8;0
Cultivo de eucalipto;1078;2044;14610;2002;2500;0
Cultivo de acácia-negra;0;3;10;48;0;0
Cultivo de pinus;20;2;1473;7289;40;0
Cultivo de teca;118;0;24;0;636;0
Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;122;73;406;31;31;0
Cultivo de mudas em viveiros florestais;255;979;2759;1839;706;0
Extração de madeira em florestas plantadas;629;2894;6949;7509;3770;0
Produção de carvão vegetal - florestas plantadas;582;2266;10502;608;829;0
Produção de casca de acácia-negra - florestas plantadas;0;2;6;18;0;0
Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;46;372;3699;1786;10;0
Extração de madeira em florestas nativas;1761;48;27;92;817;0
Produção de carvão vegetal - florestas nativas;554;583;42;9;336;0
Coleta de castanha-do-pará em florestas nativas;39;0;0;0;0;0
Coleta de látex em florestas nativas;23;34;41;13;67;0
Coleta de palmito em florestas nativas;0;0;65;10;0;0
Conservação de florestas nativas;354;115;277;47;43;0
Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;3;478;802;558;2;0
Atividades de apoio à produção florestal;2714;8209;14788;8628;5625;0
Pesca de peixes em água salgada;512;477;1305;2853;0;0
Pesca de crustáceos e moluscos em água salgada;145;312;108;75;0;0
Coleta de outros produtos marinhos;0;7;3;3;0;0
Atividades de apoio à pesca em água salgada;4;40;136;96;1;0
Pesca de peixes em água doce;42;63;106;40;71;0
Pesca de crustáceos e moluscos em água doce;0;0;0;0;1;0
Coleta de outros produtos aquáticos de água doce;0;8;27;1;0;0
Atividades de apoio à pesca em água doce;26;35;29;8;27;0
Criação de peixes em água salgada e salobra;9;108;25;9;3;0
Criação de camarões em água salgada e salobra;39;6505;37;29;2;0
Criação de ostras e mexilhões em água salgada e salobra;1;43;4;60;0;0
Criação de peixes ornamentais em água salgada e salobra;0;13;27;0;0;0
Atividades de apoio à aqüicultura em água salgada e salobra;0;210;13;1;1;0
Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente;0;79;32;1;2;0
Criação de peixes em água doce;557;982;2238;733;930;0
Criação de camarões em água doce;0;474;18;1;1;0
Criação de ostras e mexilhões em água doce;0;0;0;4;0;0
Criação de peixes ornamentais em água doce;43;65;106;41;3;0
Ranicultura;0;0;5;2;1;0
Criação de jacaré;0;1;5;0;20;0
Atividades de apoio à aqüicultura em água doce;12;157;57;18;13;0
Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;104;125;68;42;30;0
Extração de carvão mineral;0;0;24;3050;11;0
Beneficiamento de carvão mineral;0;30;22;476;3;0
Extração de petróleo e gás natural;370;3904;16806;26;0;0
Extração e beneficiamento de xisto;0;0;0;71;0;0
Extração e beneficiamento de areias betuminosas;0;6;3;13;6;0
Extração de minério de ferro;12436;424;43823;0;1186;0
Pelotização, sinterização e outros beneficiamentos de minério de ferro;28;275;3715;4;0;0
Extração de minério de alumínio;3904;0;278;3;15;0
Beneficiamento de minério de alumínio;0;0;341;34;191;0
Extração de minério de estanho;534;0;0;0;5;0
Beneficiamento de minério de estanho;159;0;0;0;0;0
Extração de minério de manganês;601;110;277;0;75;0
Beneficiamento de minério de manganês;1;1;27;0;1;0
Extração de minério de metais preciosos;1683;1861;6740;370;5439;0
Beneficiamento de minério de metais preciosos;9;1464;387;0;1045;0
Extração de minerais radioativos;0;294;131;0;0;0
Extração de minérios de nióbio e titânio;0;9;181;0;125;0
Extração de minério de tungstênio;1;360;0;0;0;0
Extração de minério de níquel;887;731;10;0;97;0
Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;4855;3108;2054;1;297;0
Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;213;1278;210;59;285;0
Extração de ardósia e beneficiamento associado;10;32;860;42;1;0
Extração de granito e beneficiamento associado;65;2745;5631;266;138;0
Extração de mármore e beneficiamento associado;7;507;643;92;19;0
Extração de calcário e dolomita e beneficiamento associado;1278;1482;2597;1807;3006;0
Extração de gesso e caulim;292;652;149;168;0;0
Extração de areia, cascalho ou pedregulho e beneficiamento associado;800;1738;8586;3449;1756;0
Extração de argila e beneficiamento associado;191;363;1158;398;97;0
Extração de saibro e beneficiamento associado;0;3;113;302;0;0
Extração de basalto e beneficiamento associado;0;56;1092;1021;330;0
Beneficiamento de gesso e caulim associado à extração;395;268;68;22;0;0
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;1028;5503;11815;6396;1791;0
Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;314;1283;2073;627;1774;0
Extração de sal marinho;0;2413;536;0;0;0
Extração de sal-gema;0;21;0;0;0;0
Refino e outros tratamentos do sal;0;1734;9;344;0;0
Extração de gemas (pedras preciosas e semipreciosas);51;535;572;12;8;0
Extração de grafita;0;47;908;0;0;0
Extração de quartzo;23;219;675;0;1;0
Extração de amianto;0;0;7;0;438;0
Extração de outros minerais não-metálicos não especificados anteriormente;65;2423;3544;1221;597;0
Atividades de apoio à extração de petróleo e gás natural;378;6200;24088;134;5;1
Atividades de apoio à extração de minério de ferro;83;271;481;0;308;0
Atividades de apoio à extração de minerais metálicos não-ferrosos;115;22;123;7;1016;0
Atividades de apoio à extração de minerais não-metálicos;2;579;618;399;145;0
Frigorífico - abate de bovinos;27373;6608;35955;16083;51021;0
Frigorífico - abate de eqüinos;0;142;81;108;0;0
Frigorífico - abate de ovinos e caprinos;2;80;103;108;16;0
